Anime,Director
Douluo Dalu, Le Ping Shen
The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B), Shinsuke Takizawa
Major Season 5, Kenichi Kasai
Bungo Stray Dogs 2nd Season, Takuya Igarashi
Steins;Gate: Egoistic Poriomania, Tomoki Kobayashi
One Piece Movie 10: Strong World, Munehisa Sakai
Food Wars! The Third Plate, Yoshitomo Yonetani
Kuroko's Basketball: Last Game, Shunsuke Tada
Tengen Toppa Gurren Lagann, Hiroyuki Imaishi
Kamisama Kiss, Akitarou Daichi
Food Wars! Shokugeki no Souma, Yoshitomo Yonetani
Snow White with the Red Hair 2nd Season, Masahiro Andou
JoJo's Bizarre Adventure: Stardust Crusaders, Kenichi Suzuki
JoJo's Bizarre Adventure: Stardust Crusaders, Naokatsu Tsuda
Natsume Yuujinchou: Itsuka Yuki no Hi ni, Kotomi Deai
Detective Conan: Episode One - The Great Detective Turned Small, Yasuichiro Yamamoto
Chihayafuru 2, Morio Asaka
The Quintessential Quintuplets 2, Kaori
Black Butler: Book of Murder, Noriyuki Abe
Food Wars! The Third Plate: Totsuki Train Arc, Yoshitomo Yonetani
Anohana: The Flower We Saw That Day, Tatsuyuki Nagai
Gintama: Aizome Kaori-hen, Chizuru Miyawaki
Fate/stay night: Unlimited Blade Works 2, Takahiro Miura
Hunter x Hunter OVA 3: Greed Island Final, Makoto Sato
Naruto Shippuden, Chiaki Kon
Naruto Shippuden, Hayato Date
Naruto Shippuden, Toshiyuki Tsuru
Naruto Shippuden, Masaaki Kumagi
Naruto Shippuden, Osamu Kobayashi
Maid-sama!, Hiroaki Sakurai
Fairy Tail: Final Season, Shinji Ishihira
Scissor Seven 3rd Season, He Xiaofen
Fairy Tail 2, Shinji Ishihira
Hajime no Ippo: Champion Road, Satoshi Nishimura
Chihayafuru 3, Morio Asaka
Haikyuu!! Riku vs Kuu, Masako Satou
Bakuman. 2, Noriaki Akitaya
Bakuman. 2, Kenichi Kasai
Spice and Wolf II, Takeo Takahashi
Magi: The Kingdom of Magic, Kouji Masunari
Magi: The Kingdom of Magic, Naotaka Hayashi
