Anime,Director
Kimagure Orange Road OVA, Takeshi Mori
Kimagure Orange Road OVA, Naoyuki Yoshinaga
Kimagure Orange Road OVA, Shigeru Morikawa
Kimagure Orange Road OVA, Kouichirou Nakamura
Harukanaru Toki no Naka de ~Maihitoyo~, Toshiya Shinohara
Senyuu. 2, Yutaka Yamamoto
Doraemon Movie 21: Nobita and the Legend of the Sun King, Tsutomu Shibayama
Galaxy Express 999, Nobutaka Nishizawa
Canaan, Masahiro Andou
Guyver: The Bioboosted Armor (2005), Katsuhito Akiyama
Sabagebu! Survival Game Club, Masahiko Oota
Lupin III Special 24: Touhou Kenbunroku - Another Page, Hajime Kamegaki
.hack//G.U. Trilogy, Hiroshi Matsuyama
Otona Joshi no Anime Time 2, Masahiro Murakami
Otona Joshi no Anime Time 2, Tooru Takahashi
Otona Joshi no Anime Time 2, You Miura
Akebi's Sailor Uniform, Miyuki Kuroki
Valvrave the Liberator, Kou Matsuo
Tenchi Movie 3: Tenchi Forever, Hiroshi Negishi
Ai Yori Aoshi Enishi, Masami Shimoda
Shiroi Kiba: White Fang Monogatari, Takeyuki Kanda
Shiroi Kiba: White Fang Monogatari, Souji Yoshikawa
KAHEY - A Certain Captain's Life,Hiroshi Haraguchi
Zou no Inai Doubutsuen, Tsuneo Maeda
Doraemon Movie 15: Nobita's Fantastical Three Musketeers, Tsutomu Shibayama
Rumbling Hearts, Tetsuya Watanabe
Vandread Integral, Takeshi Mori
Detroit Metal City: Birth of the Metal Devil, Hiroshi Nagahama
B-PROJECT: Zecchou Emotion, Makoto Moriwaki
5-tou ni Naritai., Mei Katou
Rosario + Vampire, Takayuki Inagaki
Mobile Suit Gundam SEED Movie II: The Far-Away Dawn, Mitsuo Fukuda
El-Hazard: The Magnificent World, Yoshiaki Iwasaki
Origin: Spirits of the Past, Keiichi Sugiyama
Omamori Himari, Shinji Ushiro
Tight-rope, Hiromi
Mahoraba: Heartful Days, Shinichirou Kimura
In/Spectre, Keiji Gotou
Pompo: The Cinéphile, Takayuki Hirao
Mahoromatic 2, Hiroyuki Yamaga
Princess Principal: Crown Handler - Chapter 1, Masaki Tachibana
Supercell: Perfect Day, Ryousuke Nakamura
"With a Dog AND a Cat, Every Day is Fun", Seiji Kishi
Is the Order a Rabbit?, Hiroyuki Hashimoto
To Love Ru, Takao Kato
Karneval, Eiji Suganuma
King Gnu: Prayer X, Ryoji Yamada
Aesthetica of a Rogue Hero, Rion Kujou
Cyber Formula Early Days Renewal, Mitsuo Fukuda
Marmalade Boy, Akinori Yabe
Baja's Studio: Baja and the Sea, Yoshiji Kigami
Fei Ren Zai 3rd Season, Zhong Ming
Didn't I Say to Make My Abilities Average in the Next Life?!, Masahiko Oota
Watt Poe to Bokura no Ohanashi, Shigenori Kageyama
Zettai Muteki Raijin Oh (1992), Toshifumi Kawase
Suzuka, Hiroshi Fukutomi
You're Under Arrest: Full Throttle, Kouichi Oohata
Infinite Stratos, Yasuhito Kikuchi
Unico in the Island of Magic, Mami Sugino
Black Jack 21, Macoto Tezka
Yumeiro Pâtissière: Mune Kyun Tropical Island!, Iku Suzuki
Anonymous Noise, Hideya Takahashi
Phi Brain: Puzzle of God 3, Hirotaka Endou
Pretty Rhythm: Aurora Dream, Masakazu Hishida
Mitsuboshi Colors, Tomoyuki Kawamura
Gundam Build Fighters: GM no Gyakushuu, Kenji Nagasaki
Higurashi no Naku Koro ni Kaku Outbreak, Toshifumi Kawase
One Piece: Take Aim! The Pirate Baseball King, Yukio Kaizawa
The Testament of Sister New Devil BURST, Hisashi Saitou
Tokyo Ghoul:re 2nd Season, Toshinori Watanabe
Sore Ike! Anpanman: Dadandan to Futago no Hoshi, Jun Kawagoe
Dropkick on My Devil!! Dash, Takanori Yano
All Out!!, Kenichi Shimizu
Pretty Cure All Stars DX: Minna Tomodachi - Kiseki no Zenin Daishuugou, Takashi Ootsuka
Harmonie, Yasuhiro Yoshiura
UQ Holder! OVA, Youhei Suzuki
Pop Team Epic (2019), Jun Aoki
Pop Team Epic (2019), Aoi Umeki
Sensual Phrase, Hiroko Tokita
Joshiraku, Tsutomu Mizushima
YOASOBI: Love Letter,Satoru Ohno
Crayon Shin-chan, Mitsuru Hongo
Crayon Shin-chan, Yuuji Mutou
Crayon Shin-chan, Keiichi Hara
Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody, Tetsurou Amino
Pandora Hearts Specials, Takao Kato
Encouragement of Climb 2, Yuusuke Yamamoto
Doraemon: Doraemon Comes Back (1998), Ayumu Watanabe
Speed Grapher, Kunihisa Sugishima
A Polar Bear in Love, Kazuya Ichikawa
GaoGaiGar, Yoshitomo Yonetani
Angolmois: Record of Mongol Invasion, Takayuki Kuriyama
Ghost Hound, Ryuutarou Nakamura
Kouchuu Ouja Mushiking: Greatest Champion e no Michi, Shunji Ooga
Sore Ike! Anpanman: Ringo Bouya to Minna no Negai, Jun Kawagoe
Yuuki Yuuna is a Hero, Seiji Kishi
Ginban Kaleidoscope, Shinji Takamatsu
This Art Club Has a Problem!, Kei Oikawa
Motto! Ojamajo Doremi, Takuya Igarashi
Pom Poko, Isao Takahata
Uma Musume: Pretty Derby, Kei Oikawa
Dance with Devils Movie: Fortuna, Ai Yoshimura
Kuni-chan no Ikka Ranran, Noboru Ishiguro
Dog Days', Junji Nishimura
Air in Summer, Tatsuya Ishihara
Bureau of Proto Society, Yasuhiro Yoshiura
Magical Taruruuto-kun, Shigeyasu Yamauchi
Buddha 2: Tezuka Osamu no Buddha: Owarinaki Tabi, Toshiaki Komura
WATATEN! an Angel Flew Down to Me, Daisuke Hiramaki
Solty Rei, Yoshimasa Hiraike
Blood-C: The Last Dark, Naoyoshi Shiotani
RADWIMPS: Sparkle, Makoto Shinkai
Kiddy Grade: Ignition, Keiji Gotou
Levius, Keisuke Ide
The Dungeon of Black Company, Mirai Minato
The [email protected]: Cinderella Girls Second Series, Noriko Takao
Mobile Suit Gundam SEED Movie III: The Rumbling Sky, Mitsuo Fukuda
AKB0048, Yoshimasa Hiraike
Tekkaman Blade, Hiroshi Negishi
Battle Spirits: Sword Eyes Gekitouden, Masaki Watanabe
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome, Akira Shigino
High School Fleet, Yuu Nobuta
Prince of Stride: Alternative, Atsuko Ishizuka
Air Movie, Osamu Dezaki
Baki the Grappler, Hitoshi Nanba
Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha, Takahiko Kyougoku
Sore Ike! Anpanman: Buruburu no Takarasagashi Daibouken!, Hiroyuki Yano
Tomato Man and the Knights of the Salad Table, Hiroshi Sasagawa
Royal Space Force: The Wings of Honneamise, Hiroyuki Yamaga
Letters from Hibakusha,Michiya Katou
Mahoromatic, Hiroyuki Yamaga
Servamp, Hideaki Nakano
Adachi and Shimamura, Satoshi Kuwabara
SK8 the Infinity: Crazy Rock JAM, Hiroko Utsumi
Ajin OVA, Hiroaki Andou
Yawara! A Fashionable Judo Girl, Hiroko Tokita
Tower of Druaga: the Aegis of Uruk, Kouichi Chigira
Tenchi The Movie 2: The Daughter Of Darkness, Tetsu Kimura
Cardcaptor Sakura: Leave it to Kero, Masayuki Kojima
Offside, Seiji Okuda
Saint Seiya Movie 3: Legend of Crimson Youth, Shigeyasu Yamauchi
Metropolis, Rintarou
"Love Hina Special: Motoko's Choice, Love or Sword: Don't Cry", Yoshiaki Iwasaki
Gosho Aoyama's Collection of Short Stories, Osamu Nabeshima
New Getter Robo, Jun Kawagoe
Kodomo no Jikan: Ni Gakki, Eiji Suganuma
Columbus no Daibouken, Yorifusa Yamaguchi
Love Lab, Masahiko Oota
Amagi Brilliant Park: No Time to Take It Easy!, Yasuhiro Takemoto
Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!, Shinji Ushiro
Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!, Shigeharu Takahashi
Zegapain, Masami Shimoda
Mobile Suit Gundam 0083: The Afterglow of Zeon, Takashi Imanishi
The Knight in the Area, Hirofumi Ogura
Burning Kabaddi, Kazuya Ichikawa
Potemayo Specials, Takashi Ikehata
Natsu no Arashi! Akinaichuu, Akiyuki Simbo
Infinite Stratos: World Purge-hen, Yasuhito Kikuchi
Infinite Stratos: World Purge-hen, Shin Tosaka
Aikatsu! 3, Ryuichi Kimura
Asari-chan, Osamu Kasai
Cencoroll 2, Atsuya Uki
Hareluya II Boy, Kiyoshi Egami
Miss Hokusai, Keiichi Hara
Doraemon Movie 23: Nobita & Robot Kingdom, Tsutomu Shibayama
Keroro Gunsou Movie 1, Junichi Satou
Final Yamato, Tomoharu Katsumata
Taiman Blues: Ladies-hen Mayumi, Satoshi Dezaki
22/7: Kaze wa Fuiteru ka?, Yuki Kamiya
Fate/Kaleid Liner Prisma Illya Movie 2: Licht Nameless Girl, Shin Oonuma
"Wake Up, Girls! Movie 2: Beyond the Bottom", Yutaka Yamamoto
Grisaia: Phantom Trigger - Stargazer, Kousuke Murayama
Dog Days'', Junji Nishimura
Inazuma Eleven GO vs Danball Senki W Movie, Yoshikazu Miyao
Hal no Fue, Hiroshi Kawamata
Rilu Rilu Fairilu: Yousei no Door, Sakura Gojou
Meow Meow Japanese History 3rd Season, Tomohiro Kawamura
Yes! Pretty Cure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday, Tatsuya Nagamine
You're Under Arrest: Full Throttle Special, Kouichi Oohata
Cardfight!! Vanguard G: Next, Itsurou Kawasaki
Battle Spirits: Saga Brave, Masaki Watanabe
Saiyuki Reload: Zeroin, Misato Takada
"Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season e, Mata?", Akiko Saito
Cheburashka Movie, Makoto Nakamura
Boruto: Naruto Next Generations, Hiroyuki Yamashita
Boruto: Naruto Next Generations, Masayuki Kouda
Boruto: Naruto Next Generations, Toshirou Fujii
Fate/Grand Order -Divine Realm of the Round Table: Camelot- Wandering; Agateram, Kei Suezawa
Lupin III Special 8: The Secret Of The Twilight Gemini, Gisaburou Sugii
Yuuna and the Haunted Hot Springs OVA, Tsuyoshi Nagasawa
Ado: Odo,Manami Aise
Invaders of the Rokujyouma!?, Jin Tamamura
Ado: Ashura-chan,Mono-Devoid
Magic Knight Rayearth, Toshihiro Hirano
WAVE!! Surfing Yappe!! Movie 3, Takaharu Ozaki
Dragon Ball: Yo! The Return of Son-Goku and Friends!!, Yoshihiro Ueda
Ayakashi: Japanese Classic Horror, Kenji Nakamura
Ayakashi: Japanese Classic Horror, Tetsuo Imazawa
Ayakashi: Japanese Classic Horror, Kouzou Nagayama
Cardfight!! Vanguard G: Stride Gate, Yui Umemoto
Zatch Bell Movie 2: Attack of Mechavulcan, Takuya Igarashi
.hack // The Movie, Hiroshi Matsuyama
Sekirei: My First Errand, Keizou Kusakawa
Selection Project, Daisuke Hiramaki
Shin Shounan Bakusouzoku Arakure Knight, Takahiro Imamura
Shoujo Fight: Norainu-tachi no Odekake, Shunsuke Tada
Jyu-Oh-Sei, Hiroshi Nishikiori
Tales of Symphonia the Animation: Sylvarant Episode, Haruo Sotozaki
Ginga e Kickoff!!, Konousuke Uda
Bokura no Nanokakan Sensou, Yuuta Murano
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan, Wataru Takahashi
Tokyo Ghoul:re, Toshinori Watanabe
Hula Fulla Dance, Shinya Watada
Alice & Zouroku, Katsushi Sakurabi
Fushigi Yugi OVA: Dai Ni Bu, Hajime Kamegaki
Armed Girl’s Machiavellism, Hideki Tachibana
Reikenzan: Hoshikuzu-tachi no Utage, Li Haoling
Reikenzan: Hoshikuzu-tachi no Utage, Iku Suzuki
Freezing, Takashi Watanabe
Yuuna and the Haunted Hot Springs, Tsuyoshi Nagasawa
Yuuki Yuuna is a Hero: The Great Mankai Chapter, Seiji Kishi
Love Hina, Yoshiaki Iwasaki
Cardfight!! Vanguard Movie: Neon Messiah, Shin Itagaki
Cinderella Monogatari, Hiroshi Sasagawa
The Magnificent KOTOBUKI Kanzenban, Tsutomu Mizushima
Da Capo II Second Season, Hideki Okamoto
Toriko Movie: Secret Recipe of Gourmet God!, Akifumi Zako
Pretty Guardian Sailor Moon Crystal, Munehisa Sakai
One Piece Movie 3: Chopper Kingdom of Strange Animal Island, Junji Shimizu
"Love, Chunibyo & Other Delusions! Heart Throb Lite", Tatsuya Ishihara
Pretty Cure All Stars New Stage 2: Kokoro no Tomodachi, Kouji Ogawa
"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku",Kazuomi Koga
Tako ni Natta Okaasan, Yoshio Takeuchi
You're Under Arrest! Diverting Traffic at the Beach, Kazuhiro Furuhashi
Gu-Gu Ganmo, Yoshikata Nitta
Brotherhood: Final Fantasy XV, Souichi Masui
Shakugan no Shana Movie Special, Takashi Watanabe
Mahou Tsukai Pretty Cure!, Masato Mitsuka
Dragon Ball Movie 4: The Path to Power, Shigeyasu Yamauchi
Inazuma Eleven GO, Katsuhito Akiyama
Yomigaeru Sora -Rescue Wings-, Katsushi Sakurabi
OreShura, Kanta Kamei
Kamichama Karin, Takashi Annou
sola, Tomoki Kobayashi
Tamayura: More Aggressive, Junichi Satou
Sore Ike! Anpanman: Rhythm de Utaou! Anpanman Natsumatsuri, Yuuji Himaki
Amemiya-san,Keiichi Arawi
We Were There, Akitarou Daichi
Yu-Gi-Oh! Duel Monsters, Kunihisa Sugishima
Amanchu!, Junichi Satou
Amanchu!, Kenichi Kasai
Glass Mask, Gisaburou Sugii
Brighter than the Dawning Blue, Masahiko Oota
Gunslinger Girl: Il Teatrino OVA, Akira Mano
Time Driver: Bokura ga Kaita Mirai,Junichi Yamamoto
Sore Ike! Anpanman: Horrorman to Hora Horako, Yuuji Himaki
Neko no Niagho, Shigeyuki Watanabe
Onegai! Samia Don, Osamu Kobayashi
Honoo no Toukyuuji: Dodge Danpei, Hiroshi Sasagawa
Fafner: Right of Left, Nobuyoshi Habara
Dragon Quest: The Adventure of Dai (2020), Kazuya Kurasawa
Mobile Suit Zeta Gundam: A New Translation -Heirs to the Stars-, Yoshiyuki Tomino
Negima!?, Akiyuki Simbo
Seitokaichou ni Chuukoku, Keishi Kawakubo
Fushigiboshi no Futagohime, Junichi Satou
Selector Destructed WIXOSS, Takuya Satou
My Little Monster OVA, Hiro Kaburagi
Porphy no Nagai Tabi, Tomomi Mochizuki
Black Rock Shooter OVA, Shinobu Yoshioka
Batsu & Terry, Tetsurou Amino
Batsu & Terry, Mitsuko Kase
Mama wa Poyopoyo-saurus ga Osuki, Takayoshi Suzuki
Cyber Formula SIN, Mitsuo Fukuda
Mobile Suit Zeta Gundam: A New Translation III -Love is the Pulse of the Stars-, Yoshiyuki Tomino
Dual! Parallel Trouble Adventures, Katsuhito Akiyama
Moyashimon Returns, Yuuichirou Yano
Dance in the Vampire Bund, Akiyuki Simbo
Dance in the Vampire Bund, Masahiro Sonoda
Promare: Galo-hen, Hiroyuki Imaishi
Appleseed Alpha, Shinji Aramaki
Sore Ike! Anpanman: Yomigaere Bananajima, Hiroyuki Yano
Shigofumi Special, Tatsuo Satou
Seizei Gambare Mahou Shoujo Kurumi 3rd Season,Keisuke Matsumoto
Shishi Shishi: Eien Hanahadashii,Nike Shimaguchi
Wu Shan Wu Xing (2016),Lin Hun
Delightful Moomin Family, Hiroshi Saito
Nanana's Buried Treasure, Kanta Kamei
The Wonderful Adventures of Nils Holgersson Movie, Mamoru Oshii
The Wonderful Adventures of Nils Holgersson Movie, Yuji Nunokawa
The Wonderful Adventures of Nils Holgersson Movie, Masami Anno
Knights of Sidonia Movie, Koubun Shizuno
"Love, Chunibyo, & Other Delusions! Rikka Version Lite: My Brother 2", Tatsuya Ishihara
Tenjho Tenge: Ultimate Fight, Toshifumi Kawase
Patlabor: The Movie, Mamoru Oshii
Ghost in the Shell: SAC_2045, Shinji Aramaki
Ghost in the Shell: SAC_2045, Kenji Kamiyama
Nabari no Ou, Kunihisa Sugishima
Lupin III Special 3: Napoleon's Dictionary, Osamu Dezaki
Mars Daybreak, Kunihiro Mori
Z-Kai: Cross Road, Makoto Shinkai
Youkai Watch Movie 3: Sora Tobu Kujira to Double no Sekai no Daibouken da Nyan!,Shinji Ushiro
Hanayamata, Atsuko Ishizuka
A Certain Magical Index III, Hiroshi Nishikiori
Azumanga Daioh: The Very Short Movie, Hiroshi Nishikiori
Combatants Will Be Dispatched!, Hiroaki Akagi
Mobile Suit Gundam SEED Destiny Special Edition I: The Broken World, Mitsuo Fukuda
Bleach: The Sealed Sword Frenzy, Noriyuki Abe
Chou Kuse ni Narisou, Tetsuya Endou
Reikenzan: Eichi e no Shikaku, Susumu Nishizawa
Rockman.EXE Stream, Takao Kato
ef - a tale of melodies: Prologue, Shin Oonuma
Usuzumizakura: Garo, Satoshi Nishimura
Peace Maker Kurogane: Belief, Shigeru Kimiya
Okawari-Boy Starzan-S, Hidehito Ueda
Marude Dameo, Akira Shigino
Mysterious Girlfriend X, Ayumu Watanabe
Witch Craft Works, Tsutomu Mizushima
Appleseed Movie, Shinji Aramaki
Mythical Detective Loki Ragnarok, Hiroshi Watanabe
Katayoku no Khronos Gear, Hiroki Hayashi
Seton Academy: Join the Pack!, Hiroshi Ikehata
Gakusaver, Shinya Sadamitsu
Strawberry Panic, Masayuki Sakoi
Yuki, Tadashi Imai
Pikaia!!, Yoshihide Ibata
Engimon, Kodai Sato
Domestic Girlfriend, Shouta Ibata
Sexy Commando Gaiden Sugoiyo!! Masaru-san, Akitarou Daichi
Sketchbook ~full color's~, Yoshimasa Hiraike
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi, Shigeo Koshi
Pokemon Movie 2: The Power of One, Kunihiko Yuyama
WAVE!! Surfing Yappe!! Movie 2, Takaharu Ozaki
Aikatsu Friends! Kagayaki no Jewel, Shishou Igarashi
"Eureka Seven: Good Night, Sleep Tight, Young Lovers", Tomoki Kyoda
The Mystic Archives of Dantalian, Yutaka Uemura
Hyperdimension Neptunia: The Eternity (True Ending) Promised, Masahiro Mukai
Kikansha Yaemon, Yukio Kaizawa
Kiki to Lala no Hoshi no Dance Shoes, Masami Hata
Armor Hunter Mellowlink, Takeyuki Kanda
Dragon Ball: Plan to Destroy the Saiyajin, Shigeyasu Yamauchi
Zatch Bell Movie 1: 101st Devil, Junji Shimizu
Monkey King: Hero Is Back,Tian Xiaopeng
Buddy Complex, Yasuhiro Tanabe
The Elevator,Koji Yamamura
Donguri to Yamaneko,Toshio Hirata
X TV, Yoshiaki Kawajiri
Bocchan, Yoshio Takeuchi
Bottom-tier Character Tomozaki, Shinsuke Yanagi
Kurokami The Animation, Tsuneo Kobayashi
Beyblade: Burst Chouzetsu, Kentaro Yamaguchi
Beyblade: Burst Chouzetsu, Katsuhito Akiyama
Patlabor: The Mobile Police TV, Naoyuki Yoshinaga
Baby I Love You Daze,Rie Matsumoto
Magical Taruruuto-kun Movie, Shigeyasu Yamauchi
Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix, Jun Kawagoe
Minami: DROP,10Gauge
Kiss x Sis, Munenori Nawa
Chieri and Cherry, Makoto Nakamura
Fuyu no Semi, Yoshihisa Matsumoto
Gunsmith Cats, Takeshi Mori
When Supernatural Battles Became Commonplace, Masanori Takahashi
Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season, Nobuhiro Kondou
Mobile Suit Gundam SEED Movie I: The Empty Battlefield, Mitsuo Fukuda
Heisei Policemen!!, Hideki Araki
Pretear, Kiyoko Sayama
Natsuyuki Rendezvous, Kou Matsuo
Kaijuu Girls (Black), Yasutaka Yamamoto
Doraemon Movie 20: Nobita Gets Lost in Space, Tsutomu Shibayama
Kiko-chan Smile, Setsuko Shibuichi
Doraemon Movie 28: Nobita and the Green Giant Legend, Ayumu Watanabe
Kamichu!, Kouji Masunari
The Testament of Sister New Devil DEPARTURES, Hisashi Saitou
I'm Standing on a Million Lives 2nd Season, Kumiko Habara
Folktales from Japan 2nd Season, Shinnosuke Numata
Kyou no 5 no 2, Tsuyoshi Nagasawa
Pumpkin Scissors, Katsuhito Akiyama
Witchblade, Yoshimitsu Oohashi
Aikatsu Friends!, Shishou Igarashi
Coo: Tooi Umi Kara Kita Coo, Tetsuo Imazawa
Young Black Jack, Mitsuko Kase
Seimei no Kagaku: Micro Patrol, Tsuneo Komuro
Mai Mai Miracle, Sunao Katabuchi
Mewkledreamy Mix!, Hiroaki Sakurai
Shaman King (2021), Jouji Furuta
Magical Taruruuto-kun: Moeru! Yuujou no Mahou Taisen, Hiroyuki Kakudou
Dragon's Delusion: Preface,Kongkee
Dragon Ball Z Movie 9: Bojack Unbound, Yoshihiro Ueda
Flag Director's Edition: Issenman no Kufura no Kiroku, Kazuo Terada
Witch Hunter Robin, Shuukou Murase
Genocidal Organ, Shuukou Murase
Inazuma Eleven GO: Galaxy, Katsuhito Akiyama
The Great Jahy Will Not Be Defeated!, Mirai Minato
King of Thorn, Kazuyoshi Katayama
My Mental Choices are Completely Interfering with my School Romantic Comedy OVA, Takayuki Inagaki
Joker Game, Kazuya Nomura
Just Because!, Atsushi Kobayashi
Tokyo Marble Chocolate, Naoyoshi Shiotani
Yu-Gi-Oh! 3D: Bonds Beyond Time, Kenichi Takeshita
Zoids: Genesis, Kazunori Mizuno
Maria Watches Over Us, Yukihiro Matsushita
Pani Poni Dash!, Akiyuki Simbo
Midori no Makibaoh, Noriyuki Abe
KINMOZA!, Motoki Tanaka
Monster Strike the Movie 3: Lucifer - Dawn of Despair, Koubun Shizuno
Black Fox, Keisuke Shinohara
A Sister's All You Need, Jin Tamamura
Sore Ike! Anpanman: Otanjoubi Series, Shunji Ooga
Kazu & Yasu Hero Tanjou,Kazuki Akane
"My Tyrano: Together, Forever",Koubun Shizuno
Sugata Sanshirou, Yasumi Mikamoto
Smile Pretty Cure! Movie: Ehon no Naka wa Minna Chiguhagu!, Narumi Kuroda
Queen Emeraldas, Shigenori Kageyama
Queen Emeraldas, Yuuji Asada
Katta-kun Monogatari, Kenji Yoshida
Rainbow Across the Pacific, Masayuki Akehi
Kono Sekai no Tanoshimikata: Secret Story Film, Fumie Muroi
Mainichi Kaasan, Mitsuru Hongo
Pokemon Movie 8: Lucario and The Mystery of Mew, Kunihiko Yuyama
Idoly Pride, Yuu Kinome
Fate/Grand Order: Absolute Demonic Front - Babylonia - Initium Iter, Toshifumi Akai
Fate/Grand Order Final Singularity: Grand Temple of Time - Solomon, Toshifumi Akai
Youkai Watch: Shadow Side, Fumiya Kitajou
Shakugan no Shana S Specials, Takashi Watanabe
Shiawase no Katachi, Shinya Sadamitsu
Kakero, Yuma Saito
They Were Eleven, Tsuneo Tominaga
They Were Eleven, Satoshi Dezaki
Pokemon, Masamitsu Hidaka
Pokemon, Norihiko Sutou
Basquash!, Hidekazu Satou
Jinzou Konchuu Kabutoborg VxV, Hiroshi Ishiodori
Cheeky Angel, Masaharu Okuwaki
The [email protected]: Cinderella Girls Theater Extra Stage, Mankyuu
Dream 9 Toriko x One Piece x Dragon Ball Z Super Collabo Special, Hiroaki Miyamoto
Dream 9 Toriko x One Piece x Dragon Ball Z Super Collabo Special, Akifumi Zako
Gatchaman Crowds Insight, Kenji Nakamura
Cat Shit One, Kazuya Sasahara
Rumiko Takahashi Anthology, Akira Nishimori
Please Twins: The Summer Never Ends, Yasunori Ide
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata, Tsuyoshi Nagasawa
Inko Colors 2, Mine Ichinose
Show By Rock!! Stars!!, Daigo Yamagishi
Battle Angel Alita, Hiroshi Fukutomi
Yuyushiki, Kaori
Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout, Sayaka Yamai
Inukami!, Keizou Kusakawa
Bodacious Space Pirates Movie: Abyss of Hyperspace, Tatsuo Satou
Cardfight!! Vanguard G: GIRS Crisis, Yui Umemoto
Kiku-chan to Ookami, Tetsuo Yasumi
Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu, Junpei Mizusaki
Yong Zhe Da Mao Xian, Huang Haitao
High School Mystery: Gakuen Nanafushigi, Shin Misawa
Lunar Legend Tsukihime, Katsushi Sakurabi
Ginga Hyouryuu Vifam, Takeyuki Kanda
number24, Shigeru Kimiya
Doraemon Movie 13: Nobita to Kumo no Oukoku, Tsutomu Shibayama
Cyber Formula SAGA, Mitsuo Fukuda
Ninja Hattori-kun Plus Perman: Chounouryoku Wars, Hiroshi Sasagawa
Tokimeki Memorial: Only Love, Yoshihiro Takamoto
Peace Maker Kurogane, Tomohiro Hirata
Stratos 4 Advance: Kanketsu-hen, Takeshi Mori
Room Camp, Masato Jinbou
ACCA: 13-Territory Inspection Dept. - Regards, Shingo Natsume
Hidamari no Ki, Gisaburou Sugii
Kira Kira Happy Hirake! Cocotama, Norio Nitta
Thundercats, Yasuhiro Geshi
Thundercats, Yoshiharu Ashino
Thundercats, Rokoh Ogihara
Chinpui: Eri-sama Katsudou Daishashin, Mitsuru Hongo
Neo Angelique Abyss: Second Age, Shin Katagai
Kirarin Revolution, Masaharu Okuwaki
Paulette's Chair, Hiroyasu Ishida
Run Melos!, Masaaki Oosumi
Gatchaman Crowds, Kenji Nakamura
Ado: ReadyMade,Yasutatsu
Toilet no Hanako-san, Akitarou Daichi
Suite Pretty Cure♪, Munehisa Sakai
Naruto Movie 1: Ninja Clash in the Land of Snow, Tensai Okamura
Pokemon Movie 10: The Rise of Darkrai, Kunihiko Yuyama
YOASOBI: Mou Sukoshi dake,Hmng
A Little Princess Sara, Fumio Kurokawa
Bouken Yuuki Pluster World,Yuuji Himaki
Clean Freak! Aoyama-kun, Kazuya Ichikawa
Shashinkan,Takashi Nakamura
Tonari no Tokoro,Takaya Mizutani
GYROAXIA: Hibana Chiru, Yama_Ko
Artiswitch, Kazuma Ikeda
Koukyoushihen: Eureka Seven - Hi-Evolution 2, Tomoki Kyoda
Chie the Brat Movie, Isao Takahata
Rune Soldier, Yoshitaka Koyama
Gou-chan. Moko to Chinjuu no Mori no Nakama-tachi, Tetsuo Yasumi
Battle Game in 5 Seconds, Nobuyoshi Arai
Idol Time PriPara, Makoto Moriwaki
Papa Mama Bye Bye,Hiroshi Shitara
The Moment You Fall in Love, Tetsuya Yanagisawa
Dream Eater Merry, Shigeyasu Yamauchi
Wo Jiao Bai Xiaofei, Shi Yi
The Testament of Sister New Devil, Hisashi Saitou
Patlabor: The Mobile Police, Mamoru Oshii
Patlabor: The Mobile Police, Naoyuki Yoshinaga
Aria the Scarlet Ammo, Takashi Watanabe
Macross Delta, Kenji Yasuda
Yamada's First Time: B Gata H Kei, Yuusuke Yamamoto
La Corda D'Oro ~secondo passo~, Koujin Ochi
"Ginga Hyouryuu Vifam: ""Keito no Kioku"" Namida no Dakkai Sakusen!!", Takeyuki Kanda
Ristorante Paradiso, Mitsuko Kase
"The Testament of Sister New Devil: Toujo Basara's Hard, Sweet Daily Life", Hisashi Saitou
D.N.Angel, Nobuyoshi Habara
D.N.Angel, Koji Yoshikawa
Ginga Densetsu Weed, Toshiyuki Katou
Dantalian no Shoka: Ibarahime, Yutaka Uemura
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen, Keiichi Hara
Gunslinger Girl: Il Teatrino, Akira Mano
Gunslinger Girl: Il Teatrino, Hiroshi Ishiodori
Princess Lover!, Hiromitsu Kanazawa
The Dog of Flanders, Yoshio Kuroda
Deadman Wonderland: The Red Knife Wielder, Kouichi Hatsumi
Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman, Hiroshi Sasagawa
Fox Wood Monogatari, Masaharu Endo
Princess Knight (1999), Masayoshi Nishida
Infinite Stratos Encore: A Sextet Yearns to Be in Love, Yasuhito Kikuchi
Nintama Rantarou, Tsutomu Shibayama
